CSW Acceptance Testing Report for run starting Wed Jan 16 16:28:48 PST 2019
Class,Test Name,Result
csw.location.server.commons.ClusterSettingsTest,cluster settings with join Local,PASSED
csw.location.server.commons.ClusterSettingsTest,cluster settings with custom values,PASSED
csw.location.server.commons.ClusterSettingsTest,cluster settings with system properties,PASSED
csw.location.models.RegistrationTest,should able to create the AkkaRegistration which should internally create AkkaLocation,PASSED
csw.location.models.RegistrationTest,should able to create the HttpRegistration which should internally create HttpLocation,PASSED
csw.location.models.RegistrationTest,should able to create the TcpRegistration which should internally create TcpLocation,PASSED
csw.location.models.RegistrationTest,should not allow AkkaRegistration using local ActorRef,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to register, resolve, list and unregister tcp location,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to register, resolve, list and unregister http location,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to register, resolve, list and unregister akka location,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,akka location death watch actor should unregister services whose actorRef is terminated,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to track tcp connection and get location updated(on registration) and remove(on unregistration) messages,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should be able to subscribe a tcp connection and receive notifications via callback,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to track http and akka connection registered before tracking started,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to stop tracking,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should not register a different Registration(connection + port/URI/actorRef) against already registered name,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,registering an already registered Registration(connection + port/URI/actorRef) on same machine should not result in failure,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,unregistering an already unregistered connection does not result in failure,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to resolve tcp connection,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should filter components with component type,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should filter connections based on Connection type,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should filter connections based on hostname,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should filter akka connections based on prefix,PASSED
csw.location.server.http.LocationServiceCompTestWithHttp,should able to unregister all components,PASSED
csw.config.api.commons.BinaryUtilsTest,testIsNotTextIsFalseForMoreThan85percentASCIICharacters,PASSED
csw.config.api.commons.BinaryUtilsTest,testIsBinaryIsFalseForMoreThan85percentASCIICharacters,PASSED
csw.config.api.commons.BinaryUtilsTest,testIsNotTextIsTrueForLessThan85percentASCIICharacters,PASSED
csw.config.api.commons.BinaryUtilsTest,testIsBinaryIsTrueForLessThan85percentASCIICharacters,PASSED
csw.config.api.models.ConfigDataTest,should able to retrieve string from Config Data source,PASSED
csw.config.api.models.ConfigDataTest,should able to generate InputStream from Config Data source,PASSED
csw.config.api.models.ConfigDataTest,should create source of ByteString from string,PASSED
csw.config.api.models.ConfigDataTest,should be able to save ConfigData to local disc,PASSED
csw.config.api.models.ConfigDataTest,should be able to get Config object when data is in valid HOCON format,PASSED
csw.config.api.models.ConfigDataTest,config object conversion should receive exception when data is NOT in valid HOCON format,PASSED
csw.config.server.commons.PathValidatorTest,should return false for invalid path,PASSED
csw.config.server.commons.PathValidatorTest,should return true for valid file path,PASSED
csw.config.server.commons.SVNDirEntryExtTest,should match the pattern for relative path,PASSED
csw.config.server.commons.SVNDirEntryExtTest,should not match invalid pattern for relative path,PASSED
csw.config.server.commons.SVNDirEntryExtTest,should detect annex and normal file based on type,PASSED
csw.config.server.cli.ArgsParserTest,should set init to false and port to None if no options are provided,PASSED
csw.config.server.cli.ArgsParserTest,should set init to true if option --initRepo is provided,PASSED
csw.config.server.cli.ArgsParserTest,should set port with the value provided with -- port option,PASSED
csw.config.server.cli.ArgsParserTest,should set init to true if --initRepo option is provided and port with the value provided with -- port option,PASSED
csw.config.server.files.AnnexFileServiceTest,storing annex file,PASSED
csw.config.server.files.AnnexFileServiceTest,getting annex file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to upload and get component configurations from config service,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to upload and get binary configurations from config service,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to create a file and retrieve the same,PASSED
csw.config.server.svn.SvnConfigServiceTest,should ignore '/' at the beginning of file path and create a file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should throw FileAlreadyExists while creating a file if it already exists in repository - assume svn first,PASSED
csw.config.server.svn.SvnConfigServiceTest,should throw FileAlreadyExists while creating a file if it already exists in repository - assume annex first,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to update existing file and get the file with updated content,PASSED
csw.config.server.svn.SvnConfigServiceTest,update should throw FileNotFoundException if a file does not exists in repository,PASSED
csw.config.server.svn.SvnConfigServiceTest,each revision of file should have unique identifier,PASSED
csw.config.server.svn.SvnConfigServiceTest,get call should return `None` if a file does not exists in repository,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to retrieve the specific version of file by config ID,PASSED
csw.config.server.svn.SvnConfigServiceTest,should get the correct version of file based on time,PASSED
csw.config.server.svn.SvnConfigServiceTest,should get the initial version of file if date provided is before the creation date,PASSED
csw.config.server.svn.SvnConfigServiceTest,should record datetime for creation of config file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should record datetime when config file is updated,PASSED
csw.config.server.svn.SvnConfigServiceTest,should get the history of a file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should list all the available config files,PASSED
csw.config.server.svn.SvnConfigServiceTest,exists should return false if file does not exist,PASSED
csw.config.server.svn.SvnConfigServiceTest,exists should return true if file exist,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to delete existing file,PASSED
csw.config.server.svn.SvnConfigServiceTest,deleting non existing file should throw FileNotFoundException,PASSED
csw.config.server.svn.SvnConfigServiceTest,delete removes all versions of a file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to get, set and reset the active version of config file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to get history of active versions of file,PASSED
csw.config.server.svn.SvnConfigServiceTest,getActive and getActiveVersion should return None if file does not exists,PASSED
csw.config.server.svn.SvnConfigServiceTest,set and reset active should throw FileNotFound exception if file or version does not exists,PASSED
csw.config.server.svn.SvnConfigServiceTest,should be able to store and retrieve file from annex store,PASSED
csw.config.server.svn.SvnConfigServiceTest,should list files from annex store without .$sha1 suffix,PASSED
csw.config.server.svn.SvnConfigServiceTest,should be able to update and retrieve the history of a file in annex store,PASSED
csw.config.server.svn.SvnConfigServiceTest,should able to get history of active versions of file from annex store,PASSED
csw.config.server.svn.SvnConfigServiceTest,should be able to get active file from annex store,PASSED
csw.config.server.svn.SvnConfigServiceTest,should be able to get time stamped file from annex store,PASSED
csw.config.server.svn.SvnConfigServiceTest,should exclude .$active files from list,PASSED
csw.config.server.svn.SvnConfigServiceTest,should list all files in a repository,PASSED
csw.config.server.svn.SvnConfigServiceTest,should give empty list if pattern does not match any file,PASSED
csw.config.server.svn.SvnConfigServiceTest,should filter list based on the pattern,PASSED
csw.config.server.svn.SvnConfigServiceTest,should filter list based on the type and pattern,PASSED
csw.config.server.svn.SvnConfigServiceTest,should get the correct active version of the file based on time,PASSED
csw.config.server.svn.SvnConfigServiceTest,should get metadata,PASSED
csw.config.server.svn.SvnConfigServiceTest,create call should create a normal file and active file in repo and reset should not delete active file,PASSED
csw.config.client.javadsl.JConfigClientApiTest,testConfigClientApi,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testFileAlreadyExistsExceptionOnCreate,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testGetReturnsNoneIfFileNotExists,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testUpdateExistingFile,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testListIsFilteredBasedOnTypeAndPattern,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testListFilesFromAnnexStoreWithoutShaSuffix,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testRetrieveVersionBasedOnDate,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testGetAndSetActiveConfigFileFromAnnexStore,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testGetHistoryOfActiveVersionsOfFile,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testListAllFiles,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testActiveVersionBasedOnTime,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testCreateFileInAnnexStore,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testFileExistsInAnnexStore,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testEachRevisionHasUniqueId,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testListIsFilteredBasedOnPattern,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testSpecificVersionRetrieval,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testRetrieveVersionBasedOnDateForFileInAnnexStore,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testGetMetadata,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testHistoryOfAFile,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testGetSetAndResetActiveConfigFile,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testDelete,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testExists,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testGetActiveReturnsNoneIfFileNotExist,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testUpdateReturnsFileNotFoundExceptionOnAbsenceOfFile,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testUpdateAndHistoryOfFilesInAnnexStore,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testActiveFilesAreExcludedInList,PASSED
csw.config.client.javadsl.JConfigAdminApiTest,testCreateAndRetrieveFile,PASSED
csw.config.client.internal.ConfigServiceResolverTest,should throw exception if not able to resolve config service http server,PASSED
csw.config.client.internal.ConfigServiceResolverTest,should give URI for resolved config service,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to upload and get component configurations from config service,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to upload and get binary configurations from config service,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to create a file and retrieve the same,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should ignore '/' at the beginning of file path and create a file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should throw FileAlreadyExists while creating a file if it already exists in repository - assume svn first,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should throw FileAlreadyExists while creating a file if it already exists in repository - assume annex first,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to update existing file and get the file with updated content,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,update should throw FileNotFoundException if a file does not exists in repository,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,each revision of file should have unique identifier,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,get call should return `None` if a file does not exists in repository,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to retrieve the specific version of file by config ID,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get the correct version of file based on time,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get the initial version of file if date provided is before the creation date,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should record datetime for creation of config file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should record datetime when config file is updated,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get the history of a file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should list all the available config files,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,exists should return false if file does not exist,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,exists should return true if file exist,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to delete existing file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,deleting non existing file should throw FileNotFoundException,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,delete removes all versions of a file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to get, set and reset the active version of config file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to get history of active versions of file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,getActive and getActiveVersion should return None if file does not exists,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,set and reset active should throw FileNotFound exception if file or version does not exists,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should be able to store and retrieve file from annex store,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should list files from annex store without .$sha1 suffix,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should be able to update and retrieve the history of a file in annex store,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to get history of active versions of file from annex store,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should be able to get active file from annex store,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should be able to get time stamped file from annex store,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should exclude .$active files from list,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should list all files in a repository,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should give empty list if pattern does not match any file,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should filter list based on the pattern,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should filter list based on the type and pattern,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get the correct active version of the file based on time,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get metadata,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should throw exception for invalid path,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should throw invalid input exception if pattern is invalid,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should throw Unauthorized exception when not logged in,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should throw NotAllowed exception when user does not have correct role,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get the history of a file with correct username,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should able to get history of active versions of file with correct user names,PASSED
csw.config.client.scaladsl.ConfigAdminApiTest,should get the list of a file with correct username,PASSED
csw.config.client.scaladsl.ConfigClientApiTest,should able to get, set and reset the active version of config file,PASSED
csw.config.client.commons.ConfigUtilsTest,should throw exception if input file and default config is empty,PASSED
csw.config.client.commons.ConfigUtilsTest,should return default config if input file if not provided,PASSED
csw.config.client.commons.ConfigUtilsTest,should use input file for config,PASSED
csw.config.client.commons.ConfigUtilsTest,should throw exception if input file does not exist,PASSED
csw.config.client.commons.ConfigUtilsTest,should get config from remote input file,PASSED
csw.config.cli.ArgsParserTest,test arguments without specifying operation,PASSED
csw.config.cli.ArgsParserTest,test create with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test create with all applicable sub-options,PASSED
csw.config.cli.ArgsParserTest,test create with bare minimum sub-options,PASSED
csw.config.cli.ArgsParserTest,test update with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test update with all applicable sub-options,PASSED
csw.config.cli.ArgsParserTest,test get with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test get with all applicable sub-options,PASSED
csw.config.cli.ArgsParserTest,test get with date sub-option,PASSED
csw.config.cli.ArgsParserTest,test get with bare minimum sub-options,PASSED
csw.config.cli.ArgsParserTest,test delete with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test delete with sub-options,PASSED
csw.config.cli.ArgsParserTest,test list,PASSED
csw.config.cli.ArgsParserTest,test list with pattern,PASSED
csw.config.cli.ArgsParserTest,test list with type,PASSED
csw.config.cli.ArgsParserTest,test list with type and pattern,PASSED
csw.config.cli.ArgsParserTest,test history with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test history with all sub-options,PASSED
csw.config.cli.ArgsParserTest,test history with max sub-option,PASSED
csw.config.cli.ArgsParserTest,test history with from and to sub-options,PASSED
csw.config.cli.ArgsParserTest,test setActiveVersion with all sub-options,PASSED
csw.config.cli.ArgsParserTest,test resetActiveVersion with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test resetActiveVersion with sub-options,PASSED
csw.config.cli.ArgsParserTest,test getActiveVersion,PASSED
csw.config.cli.ArgsParserTest,test getActiveByTime with date sub-option,PASSED
csw.config.cli.ArgsParserTest,test historyActive with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test historyActive with all sub-options,PASSED
csw.config.cli.ArgsParserTest,test historyActive with max sub-option,PASSED
csw.config.cli.ArgsParserTest,test historyActive with from and to sub-options,PASSED
csw.config.cli.ArgsParserTest,test getMetadata,PASSED
csw.config.cli.ArgsParserTest,test getMetadata with locationHost,PASSED
csw.config.cli.ArgsParserTest,test exists with no sub-options,PASSED
csw.config.cli.ArgsParserTest,test exists with sub-options,PASSED
csw.config.cli.ArgsParserTest,test getActive,PASSED
csw.config.cli.ArgsParserTest,test login,PASSED
csw.config.cli.ArgsParserTest,test logout,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToCreateDemandState,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToCreateCurrentState,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToCreateCurrentStatesUsingList,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToCreateCurrentStatesUsingVargs,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToMatchWithDefaultMatcher,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToCreateCurrentStateFromSetup,PASSED
csw.params.core.states.JStateVariableTest,shouldAbleToCreateDemandStateFromSetup,PASSED
csw.params.core.models.JMatrixDataTest,shouldCreateMatrixDataFromJavaArrays,PASSED
csw.params.events.JEventsTest,shouldAbleToRemoveParamsInSystemEvent,PASSED
csw.params.events.JEventsTest,shouldAbleToRemoveParamsInObserveEvent,PASSED
csw.params.events.JEventsTest,shouldAbleToCreateAndAccessSystemEvent,PASSED
csw.params.events.JEventsTest,shouldBeUniqueIdWhenParametersAreAddedOrRemovedForObserve,PASSED
csw.params.events.JEventsTest,shouldBeUniqueWhenParametersAreAddedOrRemovedForSystem,PASSED
csw.params.events.JEventsTest,shouldAbleToCreateAndAccessObserveEvent,PASSED
csw.params.core.formats.JsonTest,Test Subsystem JSON should encode and decode properly,PASSED
csw.params.core.formats.JsonTest,Test Prefix should encode and decode properly,PASSED
csw.params.core.formats.JsonTest,Test Units JSON should encode and decode properly,PASSED
csw.params.core.formats.JsonTest,Test concrete items char item encode/decode without units,PASSED
csw.params.core.formats.JsonTest,Test concrete items char item encode/decode with units,PASSED
csw.params.core.formats.JsonTest,Test concrete items short item encode/decode,PASSED
csw.params.core.formats.JsonTest,Test concrete items int item encode/decode,PASSED
csw.params.core.formats.JsonTest,Test concrete items long item encode/decode,PASSED
csw.params.core.formats.JsonTest,Test concrete items float item encode/decode,PASSED
csw.params.core.formats.JsonTest,Test concrete items double item encode/decode,PASSED
csw.params.core.formats.JsonTest,Test concrete items boolean item encode/decode,PASSED
csw.params.core.formats.JsonTest,Test concrete items string item encode/decode,PASSED
csw.params.core.formats.JsonTest,Testing Items should encode and decode items list,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode a Setup,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode an Observe,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode an Wait,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode an ObserveEvent,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode an SystemEvent,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode an CurrentState,PASSED
csw.params.core.formats.JsonTest,Commands and Events JSON Should encode/decode an DemandState,PASSED
csw.params.core.formats.JsonTest,Test Custom RaDecItem Should allow custom RaDecItem,PASSED
csw.params.core.formats.JsonTest,Test Double Matrix items Should allow double matrix values,PASSED
csw.params.core.formats.JsonTest,Test Double Array items Should allow double array values,PASSED
csw.params.core.formats.JsonTest,Test Int Matrix items Should allow int matrix values,PASSED
csw.params.core.formats.JsonTest,Test Int Array items Should allow int array values,PASSED
csw.params.core.formats.JsonTest,Test Byte Matrix items Should allow byte matrix values,PASSED
csw.params.core.formats.JsonTest,Test Byte Array items Should allow byte array values,PASSED
csw.params.core.formats.JsonTest,Test Short Matrix items Should allow short matrix values,PASSED
csw.params.core.formats.JsonTest,Test Short Array items Should allow short array values,PASSED
csw.params.core.formats.JsonTest,Test Long Matrix items Should allow long matrix values,PASSED
csw.params.core.formats.JsonTest,Test Long Array items Should allow long array values,PASSED
csw.params.core.formats.JsonTest,Test Choice items Should allow choice/enum values,PASSED
csw.params.core.formats.JsonTest,testing StructItem JSON support should allow Struct values,PASSED
csw.params.core.models.JStructTest,shouldAbleToCreateWithSetOfParams,PASSED
csw.params.core.models.JStructTest,shouldAbleToCreateWithVarArgs,PASSED
csw.params.commands.IdTest,should able to create setup commands having unique runId,PASSED
csw.params.commands.IdTest,should able to create observe commands having unique runId,PASSED
csw.params.commands.IdTest,should able to create wait commands having unique runId,PASSED
csw.params.events.EventsTest,SystemEvent Test should create with prefix and eventName,PASSED
csw.params.events.EventsTest,SystemEvent Test should create with prefix, eventName, paramSet,PASSED
csw.params.events.EventsTest,SystemEvent Test Should allow removing,PASSED
csw.params.events.EventsTest,SystemEvent Test Should allow adding,PASSED
csw.params.events.EventsTest,SystemEvent Test Should access metadata fields,PASSED
csw.params.events.EventsTest,SystemEvent Test each event created should be unique,PASSED
csw.params.events.EventsTest,ObserveEvent Test should create with prefix and eventName,PASSED
csw.params.events.EventsTest,ObserveEvent Test should create with prefix, eventName and paramSet,PASSED
csw.params.events.EventsTest,ObserveEvent Test Should allow removing,PASSED
csw.params.events.EventsTest,ObserveEvent Test Should allow adding,PASSED
csw.params.events.EventsTest,ObserveEvent Test Should access metadata fields,PASSED
csw.params.events.EventsTest,ObserveEvent Test each event created should be unique,PASSED
csw.params.commands.JCommandsTest,shouldAbleToCreateAndAccessWaitCommand,PASSED
csw.params.commands.JCommandsTest,shouldAbleToCreateAndAccessSetupCommand,PASSED
csw.params.commands.JCommandsTest,shoulRdAbleToCloneAnExistingCommand,PASSED
csw.params.commands.JCommandsTest,shouldAbleToCreateAndAccessObserveCommand,PASSED
csw.params.core.generics.JChoiceKeyTypeTest,choicesAPIShouldBeAccessible,PASSED
csw.params.core.generics.JChoiceKeyTypeTest,shouldThrowExceptionForInvalidChoice,PASSED
csw.params.core.generics.JChoiceKeyTypeTest,shouldAbleToCreateChoiceParameterWithUnits,PASSED
csw.params.core.generics.JChoiceKeyTypeTest,choiceKeyShouldHaveNameTypeAndChoices,PASSED
csw.params.core.generics.JChoiceKeyTypeTest,shouldAbleToCreateChoiceParameterWithoutUnits,PASSED
csw.params.core.formats.JsonContractTest,Test Sequence Commands should adhere to specified standard Setup json format,PASSED
csw.params.core.formats.JsonContractTest,Test Sequence Commands should adhere to specified standard Observe json format,PASSED
csw.params.core.formats.JsonContractTest,Test Sequence Commands should adhere to specified standard Wait json format,PASSED
csw.params.core.formats.JsonContractTest,Test Events should adhere to specified standard ObserveEvent json format,PASSED
csw.params.core.formats.JsonContractTest,Test Events should adhere to specified standard SystemEvent json format,PASSED
csw.params.core.formats.JsonContractTest,Test State Variables should adhere to specified standard CurrentState json format,PASSED
csw.params.core.formats.JsonContractTest,Test State Variables should adhere to specified standard DemandState json format,PASSED
csw.params.core.formats.JsonContractTest,Exercise all types of keys should able to serialize and deserialize Setup command with all keys to and from json,PASSED
csw.params.core.generics.JArrayKeyTypeTest,testDoubleArrayKeyParameter,PASSED
csw.params.core.generics.JArrayKeyTypeTest,testByteArrayKeyParameter,PASSED
csw.params.core.generics.JArrayKeyTypeTest,testIntArrayKeyParameter,PASSED
csw.params.core.generics.JArrayKeyTypeTest,testLongArrayKeyParameter,PASSED
csw.params.core.generics.JArrayKeyTypeTest,testFloatArrayKeyParameter,PASSED
csw.params.core.generics.JArrayKeyTypeTest,testShortArrayKeyParameter,PASSED
csw.params.core.models.JArrayDataTest,shouldCreateArrayDataFromJavaArray,PASSED
csw.params.core.generics.KeyParameterTest,basic key tests should have correct name,PASSED
csw.params.core.generics.KeyParameterTest,basic key tests should have equality based on name,PASSED
csw.params.core.generics.KeyParameterTest,test booleanKey should allow single val,PASSED
csw.params.core.generics.KeyParameterTest,test booleanKey should work with list, withUnits,PASSED
csw.params.core.generics.KeyParameterTest,test booleanKey should work with list, units,PASSED
csw.params.core.generics.KeyParameterTest,test charItem should allow single val,PASSED
